Column1,Freelancer_Id,Name,Gender,Age,Country,Language,Skill,Experience,Hourly_Rate(Usd),Rating,Is_Active,Client_Satisfaction
0,250001, Nicole Kidd,Female,52,Italy,Italian,Blockchain Development,11,100,2.5,FALSE,0.79
1,250002,Vanessa Garcia,Female,52,Australia,English,Mobile Apps,34,100,3.3,TRUE,0.84
2,250003,Juan Nelson,Male,53,Germany,German,Graphic Design,31,50,0,FALSE,0.71
3,250004,Amanda Spencer,Female,38,Australia,English,Web Development,4,40,1.5,FALSE,0.9
4,250005,Lynn Curtis DDS,Female,53,Germany,German,Web Development,27,30,4.8,FALSE,0.83
5,250006,Lisa Johnson,Female,59,Netherlands,Dutch,AI,14,30,2.4,FALSE,0.79
6,250007,Eric Myers,Male,52,Indonesia,Indonesian,Data Analysis,10,75,3.1,FALSE,0.94
7,250008,Ricky Graham,Male,43,Italy,Italian,Blockchain Development,14,40,4.6,FALSE,0.94
8,250009,Sean Martin,Male,26,United States,English,Blockchain Development,4,40,4,TRUE,0.76
9,250010,Matthew Lloyd,Male,52,Turkey,Turkish,AI,22,50,2.5,TRUE,0.79
10,250011,Gavin Randall,Male,40,United Kingdom,English,Data Analysis,17,40,3.6,TRUE,0.77
11,250012,Michelle Curtis,Female,55,Argentina,Spanish,UI/UX Design,15,50,2.5,TRUE,0.86
12,250013,Alice Schneider,Female,57,United Kingdom,English,Cybersecurity,18,50,2,FALSE,0.86
13,250014,Phillip Shelton,Male,38,Argentina,Spanish,Graphic Design,20,75,2.9,TRUE,0.93
14,250015,Edward Ferguson,Male,50,Germany,German,Data Analysis,22,75,3.7,TRUE,0.7
15,250016,Wyatt Stout,Male,42,Japan,Japanese,Data Analysis,0,30,1.2,FALSE,0.69
16,250017,Laura Johnson,Female,39,Australia,English,DevOps,13,30,2.5,FALSE,0.6
17,250018,Scott Burns,Male,56,India,Hindi,Blockchain Development,9,40,2.5,Unknown,0.87
18,250019,Tyler Aguirre,Male,56,United States,English,UI/UX Design,31,50,1.1,FALSE,0.75
19,250020,Matthew Lawson,Male,57,Italy,Italian,Web Development,3,100,1.8,TRUE,0.68
20,250021,James Cherry,Male,41,Indonesia,Indonesian,AI,9,50,1.8,FALSE,0.65
21,250022,Samuel Sanford,Male,51,Japan,Japanese,DevOps,9,50,2.4,FALSE,0.69
22,250023,Cesar Greene,Male,51,Brazil,Portuguese,Cybersecurity,21,30,4.7,FALSE,0.79
23,250024,Melanie Carter,Female,51,South Korea,Korean,Machine Learning,15,50,1.3,TRUE,1
24,250025,Jennifer Martin,Female,54,Indonesia,Indonesian,Machine Learning,13,75,2.9,Unknown,0.92
25,250026,Anna Mccann,Female,22,South Korea,Korean,DevOps,0,30,1.2,TRUE,0.7
26,250027,Marissa Bass,Female,34,Japan,Japanese,Blockchain Development,8,20,0,TRUE,0.89
27,250028,Alexis Day,Female,36,Russia,Russian,Graphic Design,11,40,1.8,TRUE,0.86
28,250029,Megan Jones,Female,47,Canada,English,AI,22,30,1.3,FALSE,0.62
29,250030,Lori Smith,Female,41,Netherlands,Dutch,Data Analysis,14,75,1.2,FALSE,0.79
30,250031,Eric Carpenter,Male,22,Netherlands,Dutch,DevOps,4,50,1,TRUE,0.79
31,250032,Timothy Daniels,Male,38,France,French,Machine Learning,19,100,4.2,FALSE,0.68
32,250033,Robert Nelson,Male,46,Egypt,Arabic,AI,9,20,1.4,TRUE,0.76
33,250034,Michael Anderson,Male,41,South Korea,Korean,AI,9,40,2.4,TRUE,0.82
34,250035,Jessica Snyder,Female,54,United States,English,Web Development,32,75,1,TRUE,0.81
35,250036,Emily Daniels,Female,52,South Korea,Korean,Web Development,28,20,2.5,FALSE,0.79
36,250037,Jamie Ramirez,Female,42,Japan,Japanese,Mobile Apps,6,40,2.5,FALSE,0.63
37,250038,Amy Harrison,Female,29,Netherlands,Dutch,Graphic Design,10,40,2.2,FALSE,0.67
38,250039,Melinda White,Female,42,South Africa,Afrikaans,Mobile Apps,23,50,3.2,TRUE,0.79
39,250040,James Hernandez,Male,60,Japan,Japanese,Web Development,13,20,3.6,FALSE,0.8
40,250041,Angelica Rogers,Female,59,United Kingdom,English,AI,3,50,0,FALSE,0.79
41,250042,Savannah Williams,Female,21,Canada,English,Web Development,0,30,2.7,TRUE,0.84
42,250043,Kaitlyn Schmidt,Female,35,Germany,German,DevOps,10,50,0,FALSE,0.79
43,250044,Jason Singh,Male,41,United Kingdom,English,Data Analysis,9,20,2.8,TRUE,0.63
44,250045,Michelle Ramirez,Female,51,Netherlands,Dutch,Machine Learning,23,20,2.5,FALSE,0.8
45,250046,James Brown,Male,41,South Africa,Afrikaans,Web Development,9,75,4.9,TRUE,0.74
46,250047,Mrs. Samantha Simmons,Female,47,Egypt,Arabic,DevOps,15,30,4.5,TRUE,0.85
47,250048,Chase Mason,Male,25,China,Mandarin,Graphic Design,4,50,2.7,FALSE,0.77
48,250049,Dominique Ward,Female,25,Mexico,Spanish,Mobile Apps,7,20,1.9,FALSE,0.79
49,250050,Lance Griffin,Male,29,Netherlands,Dutch,UI/UX Design,1,20,1.4,TRUE,0.63
50,250051,Julie Burgess,Female,23,Argentina,Spanish,Cybersecurity,0,75,1.9,TRUE,0.79
51,250052,Don Scott,Male,31,France,French,Data Analysis,8,50,3.4,FALSE,0.79
52,250053,Kyle Atkinson,Male,51,Germany,German,Machine Learning,33,75,3.3,Unknown,0.68
53,250054,Jimmy Hogan,Male,41,Spain,Spanish,UI/UX Design,1,30,0,FALSE,0.68
54,250055,Jennifer Mcintyre,Female,29,Turkey,Turkish,Cybersecurity,11,100,2.3,TRUE,0.72
