freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250001,Ms. Nicole Kidd,f,52,Italy,Italian,Blockchain Development,11,100,,0,
FL250002,Vanessa Garcia,FEMALE,52,Australia,English,Mobile Apps,34,USD 100,3.3,1,84%
FL250003,Juan Nelson,male,53,Germany,German,Graphic Design,31,50,0,N,71%
FL250004,Amanda Spencer,F,38,Australia,English,Web Development,4,$40,1.5,N,90%
FL250005,Lynn Curtis DDS,female,53,Germany,German,Web Development,27,30,4.8,0,83%
FL250006,Lisa Johnson,female,59,Netherlands,Dutch,AI,14,$30,2.4,FALSE,
FL250007,Eric Myers,m,52,Indonesia,Indonesian,Data Analysis,10,USD 75,3.1,0,94%
FL250008,Ricky Graham,male,43,Italy,Italian,Blockchain Development,14,USD 40,4.6,FALSE,94%
FL250009,Sean Martin,male,26,United States,English,Blockchain Development,4,,4,TRUE,76%
FL250010,Matthew Lloyd,MALE,52,Turkey,Turkish,AI,22,$50,,1,
FL250011,Gavin Randall,m,40,United Kingdom,English,Data Analysis,17,40,3.6,yes,77%
FL250012,Michelle Curtis,FEMALE,55,Argentina,Spanish,UI/UX Design,15,,,Y,86%
FL250013,Alice Schneider,Female,57,United Kingdom,English,Cybersecurity,18,,2,0,86%
FL250014,Phillip Shelton,MALE,38,Argentina,Spanish,Graphic Design,20,USD 75,2.9,1,93%
FL250015,Edward Ferguson,MALE,50,Germany,German,Data Analysis,22,75,3.7,1,70%
FL250016,Wyatt Stout,m,42,Japan,Japanese,Data Analysis,0,$30,1.2,0,69%
FL250017,Laura Johnson,Female,39,Australia,English,DevOps,13,$30,2.5,FALSE,60%
FL250018,Scott Burns,M,56,India,Hindi,Blockchain Development,,,,,87%
FL250019,Tyler Aguirre,Male,56,United States,English,UI/UX Design,31,USD 50,1.1,N,75%
FL250020,Matthew Lawson,Male,57,Italy,Italian,Web Development,3,USD 100,1.8,yes,68%
FL250021,James Cherry,Male,,Indonesia,Indonesian,AI,9,50,1.8,FALSE,65%
FL250022,Samuel Sanford,m,51,Japan,Japanese,DevOps,,,2.4,N,69%
FL250023,Cesar Greene,m,51,Brazil,Portuguese,Cybersecurity,21,USD 30,4.7,N,
FL250024,Melanie Carter,female,51,South Korea,Korean,Machine Learning,15,$50,1.3,1,100%
FL250025,Jennifer Martin,f,54,Indonesia,Indonesian,Machine Learning,13,75,2.9,,92
FL250026,Anna Mccann,FEMALE,22,South Korea,Korean,DevOps,0,USD 30,1.2,1,70%
FL250027,Marissa Bass,female,34,Japan,Japanese,Blockchain Development,8,$20,0,TRUE,89%
FL250028,Alexis Day,Female,36,Russia,Russian,Graphic Design,11,,1.8,Y,86%
FL250029,Megan Jones,female,47,Canada,English,AI,22,30,1.3,0,62%
FL250030,Lori Smith,FEMALE,41,Netherlands,Dutch,Data Analysis,14,USD 75,1.2,0,
FL250031,Eric Carpenter,Male,22,Netherlands,Dutch,DevOps,4,,1,yes,
FL250032,Timothy Daniels,Male,38,France,French,Machine Learning,19,USD 100,4.2,N,68%
FL250033,Robert Nelson,M,46,Egypt,Arabic,AI,9,20,1.4,TRUE,76%
FL250034,Michael Anderson,male,,South Korea,Korean,AI,9,40,2.4,yes,82
FL250035,Jessica Snyder,FEMALE,54,United States,English,Web Development,32,75,1,yes,81%
FL250036,Emily Daniels,female,52,South Korea,Korean,Web Development,28,$20,,0,
FL250037,Jamie Ramirez,f,42,Japan,Japanese,Mobile Apps,6,40,,0,63%
FL250038,Amy Harrison,F,29,Netherlands,Dutch,Graphic Design,10,40,2.2,N,67%
FL250039,Melinda White,F,42,South Africa,Afrikaans,Mobile Apps,23,50,3.2,yes,
FL250040,James Hernandez,Male,60,Japan,Japanese,Web Development,13,$20,3.6,0,80%
FL250041,Angelica Rogers,Female,59,United Kingdom,English,AI,3,USD 50,0,no,
FL250042,Savannah Williams,Female,21,Canada,English,Web Development,0,30,2.7,1,84%
FL250043,Kaitlyn Schmidt,Female,35,Germany,German,DevOps,10,$50,0,no,
FL250044,Jason Singh,male,41,United Kingdom,English,Data Analysis,,20,2.8,TRUE,63%
FL250045,Michelle Ramirez,Female,51,Netherlands,Dutch,Machine Learning,23,20,2.5,FALSE,80%
FL250046,James Brown,male,41,South Africa,Afrikaans,Web Development,9,$75,4.9,1,74%
FL250047,Mrs. Samantha Simmons,Female,47,Egypt,Arabic,DevOps,15,USD 30,4.5,1,85%
FL250048,Chase Mason,male,25,China,Mandarin,Graphic Design,4,50,2.7,N,77%
FL250049,Dominique Ward,F,25,Mexico,Spanish,Mobile Apps,7,20,1.9,0,
FL250050,Lance Griffin,m,29,Netherlands,Dutch,UI/UX Design,1,20,1.4,1,63%
FL250051,Julie Burgess,FEMALE,23,Argentina,Spanish,Cybersecurity,0,75,1.9,TRUE,79%
FL250052,Don Scott,male,31,France,French,Data Analysis,8,50,3.4,0,
FL250053,Kyle Atkinson,Male,51,Germany,German,Machine Learning,33,75,3.3,,68%
FL250054,Jimmy Hogan,m,,Spain,Spanish,UI/UX Design,1,30,0,0,68%
FL250055,Jennifer Mcintyre,f,29,Turkey,Turkish,Cybersecurity,11,100,2.3,TRUE,72%
FL250056,Larry Simpson,m,50,United Kingdom,English,AI,15,,2,yes,65%
FL250057,Laura Price,f,26,United Kingdom,English,DevOps,8,50,1.3,FALSE,76%
FL250058,Mark Wright,Male,38,Canada,English,AI,17,USD 40,4,TRUE,90%
FL250059,Samantha Mcdaniel,FEMALE,23,India,Hindi,Mobile Apps,,75,3.6,1,65%
FL250060,Barbara Foster,Female,51,South Africa,Afrikaans,DevOps,28,40,3.9,0,63%
FL250061,Courtney Tran,F,51,Indonesia,Indonesian,AI,33,$75,0,TRUE,
FL250062,Eddie Todd,Male,47,Germany,German,AI,18,75,0,0,
